"Flight.Type","Airline","Flight.No","AverageDepartureDelay","AverageArrivalDelay","TotalFlight","ArrivalDelayedFlight","ArrivalPercDelay","DepartureDelayedFlight","DeparturePercDelay"
"Domestic","AZUL","AZU - 2574",-41.15,-49.08,186,18,0.1,25,0.13
"Domestic","AZUL","AZU - 2575",-136.44,-103.39,153,12,0.08,11,0.07
"Domestic","AZUL","AZU - 2576",-0.1,-6.9,10,1,0.1,1,0.1
"Domestic","AZUL","AZU - 2577",-0.09,-2.18,11,2,0.18,2,0.18
"Domestic","AZUL","AZU - 2578",7.59,1.82,425,67,0.16,82,0.19
"Domestic","AZUL","AZU - 2579",-91.87,-98.87,166,12,0.07,17,0.1
"Domestic","AZUL","AZU - 2580",14.83,24.07,504,33,0.07,28,0.06
"Domestic","AZUL","AZU - 2581",-15.72,-14.65,693,175,0.25,120,0.17
"Domestic","AZUL","AZU - 2582",7.58,4,248,56,0.23,50,0.2
"Domestic","AZUL","AZU - 2583",2.97,1.31,244,39,0.16,34,0.14
"Domestic","AZUL","AZU - 2584",5.61,-0.19,363,55,0.15,64,0.18
"Domestic","AZUL","AZU - 2585",-9.57,-11.18,1122,172,0.15,141,0.13
"Domestic","AZUL","AZU - 2586",-30.98,-27.62,716,31,0.04,34,0.05
"Domestic","AZUL","AZU - 2587",8.22,2.67,517,36,0.07,30,0.06
"Domestic","AZUL","AZU - 2588",5.67,2.18,61,9,0.15,9,0.15
"Domestic","AZUL","AZU - 2589",4.2,-3.15,55,18,0.33,13,0.24
"Domestic","AZUL","AZU - 2590",3.04,1.19,258,46,0.18,32,0.12
"Domestic","AZUL","AZU - 2591",5.95,-1.03,347,61,0.18,61,0.18
"Domestic","AZUL","AZU - 2592",-3.72,-10.56,82,2,0.02,4,0.05
"Domestic","AZUL","AZU - 2593",-5.82,-6.23,71,7,0.1,4,0.06
"Domestic","AZUL","AZU - 2594",7.6,2.72,138,26,0.19,27,0.2
"Domestic","AZUL","AZU - 2595",8.25,5.13,179,30,0.17,34,0.19
"Domestic","AZUL","AZU - 2596",11.5,6.8,1441,136,0.09,149,0.1
"Domestic","AZUL","AZU - 2597",5.2,2.94,1429,218,0.15,239,0.17
"Domestic","AZUL","AZU - 2598",32.99,35.04,405,23,0.06,13,0.03
"Domestic","AZUL","AZU - 2599",-3.68,-8.95,74,6,0.08,5,0.07
"Domestic","AZUL","AZU - 2600",-0.79,-7.8,207,12,0.06,10,0.05
"Domestic","AZUL","AZU - 2601",1.08,-8.54,208,17,0.08,20,0.1
"Domestic","AZUL","AZU - 2602",-5.19,-14.58,95,1,0.01,1,0.01
"Domestic","AZUL","AZU - 2603",33.55,28.99,522,68,0.13,72,0.14
"Domestic","AZUL","AZU - 2604",-52.25,-1.63,954,161,0.17,109,0.11
"Domestic","AZUL","AZU - 2605",1.22,2.13,793,191,0.24,105,0.13
"Domestic","AZUL","AZU - 2606",2.52,4.98,398,79,0.2,39,0.1
"Domestic","AZUL","AZU - 2607",42.98,46.81,387,74,0.19,54,0.14
"Domestic","AZUL","AZU - 2608",117.78,115,560,86,0.15,83,0.15
"Domestic","AZUL","AZU - 2609",8.94,5.27,188,44,0.23,45,0.24
"Domestic","AZUL","AZU - 2610",-7.93,29.63,671,74,0.11,51,0.08
"Domestic","AZUL","AZU - 2611",-4.7,33.48,628,94,0.15,76,0.12
"Domestic","AZUL","AZU - 2612",40.3,29.25,373,24,0.06,29,0.08
"Domestic","AZUL","AZU - 2613",-3.99,-6.19,368,19,0.05,15,0.04
"Domestic","AZUL","AZU - 2614",34.19,28.5,439,31,0.07,37,0.08
"Domestic","AZUL","AZU - 2615",28.87,23.78,441,27,0.06,30,0.07
"Domestic","AZUL","AZU - 2616",19.18,17.47,464,62,0.13,57,0.12
"Domestic","AZUL","AZU - 2617",-12.27,-12.36,342,98,0.29,87,0.25
"Domestic","AZUL","AZU - 2618",-42.99,-28.57,436,126,0.29,67,0.15
"Domestic","AZUL","AZU - 2619",3.21,-1.02,118,7,0.06,11,0.09
"Domestic","AZUL","AZU - 2620",-0.85,-9.71,79,8,0.1,9,0.11
"Domestic","AZUL","AZU - 2621",7.14,4.74,172,51,0.3,42,0.24
"Domestic","AZUL","AZU - 2622",0.74,1.28,245,38,0.16,34,0.14
"Domestic","AZUL","AZU - 2623",-0.2,-2.52,148,19,0.13,14,0.09
"Domestic","AZUL","AZU - 2624",-1.94,0.32,107,15,0.14,6,0.06
"Domestic","AZUL","AZU - 2625",-5.84,-4.95,121,7,0.06,4,0.03
"Domestic","AZUL","AZU - 2626",2.6,3.68,233,50,0.21,38,0.16
"Domestic","AZUL","AZU - 2627",-0.59,0.84,82,12,0.15,11,0.13
"Domestic","AZUL","AZU - 2628",0.07,50.23,482,123,0.26,96,0.2
"Domestic","AZUL","AZU - 2629",8.17,9.73,60,12,0.2,9,0.15
"Domestic","AZUL","AZU - 2630",-11.26,-0.02,492,75,0.15,58,0.12
"Domestic","AZUL","AZU - 2631",-29.67,-25.36,1361,150,0.11,142,0.1
"Domestic","AZUL","AZU - 2632",-35.94,-38.91,979,250,0.26,253,0.26
"Domestic","AZUL","AZU - 2633",6.64,4.78,443,100,0.23,91,0.21
"Domestic","AZUL","AZU - 2634",0.12,-7,80,6,0.08,5,0.06
"Domestic","AZUL","AZU - 2635",1.59,-8.75,61,4,0.07,8,0.13
"Domestic","AZUL","AZU - 2636",-23.35,34.71,427,85,0.2,59,0.14
"Domestic","AZUL","AZU - 2637",-50.14,1.78,474,84,0.18,75,0.16
"Domestic","AZUL","AZU - 2638",0.37,-2.61,341,28,0.08,27,0.08
