"Flight.Type","Airline","Flight.No","AverageDepartureDelay","AverageArrivalDelay","TotalFlight","ArrivalDelayedFlight","ArrivalPercDelay","DepartureDelayedFlight","DeparturePercDelay"
"Domestic","AZUL","AZU - 5152",-6.69,-10.53,58,1,0.02,0,0
"Domestic","AZUL","AZU - 5153",-1.94,-10.74,35,1,0.03,2,0.06
"Domestic","AZUL","AZU - 5154",-0.23,-4.2,171,6,0.04,10,0.06
"Domestic","AZUL","AZU - 5155",-14.33,-15.65,746,127,0.17,112,0.15
"Domestic","AZUL","AZU - 5156",4.17,3.26,247,54,0.22,48,0.19
"Domestic","AZUL","AZU - 5157",-52.41,-55.63,264,38,0.14,41,0.16
"Domestic","AZUL","AZU - 5158",26.98,26.38,458,19,0.04,15,0.03
"Domestic","AZUL","AZU - 5159",-7.85,-14.19,136,0,0,2,0.01
"Domestic","AZUL","AZU - 5160",8.01,11.9,104,43,0.41,21,0.2
"Domestic","AZUL","AZU - 5161",22.12,18.63,136,63,0.46,65,0.48
"Domestic","AZUL","AZU - 5162",-2.1,-1.85,59,5,0.08,6,0.1
"Domestic","AZUL","AZU - 5163",-3.75,-7.92,60,4,0.07,4,0.07
"Domestic","AZUL","AZU - 5164",4.5,8.98,157,57,0.36,27,0.17
"Domestic","AZUL","AZU - 5165",46.83,63.43,240,42,0.18,52,0.22
"Domestic","AZUL","AZU - 5166",25.19,20.85,634,55,0.09,66,0.1
"Domestic","AZUL","AZU - 5167",3.93,3.03,207,33,0.16,28,0.14
"Domestic","AZUL","AZU - 5168",-34.01,-35.56,411,78,0.19,57,0.14
"Domestic","AZUL","AZU - 5169",-16.91,-19.9,527,76,0.14,60,0.11
"Domestic","AZUL","AZU - 5170",23.11,34.62,462,77,0.17,59,0.13
"Domestic","AZUL","AZU - 5171",4.7,-0.99,202,31,0.15,32,0.16
"Domestic","AZUL","AZU - 5172",2.41,-0.55,215,30,0.14,30,0.14
"Domestic","AZUL","AZU - 5173",32.26,31.12,410,57,0.14,52,0.13
"Domestic","AZUL","AZU - 5174",-17.78,-20.5,608,157,0.26,86,0.14
"Domestic","AZUL","AZU - 5175",-0.22,-0.81,85,14,0.16,12,0.14
"Domestic","AZUL","AZU - 5176",29.55,42.99,370,95,0.26,81,0.22
"Domestic","AZUL","AZU - 5177",48.24,47.56,348,99,0.28,82,0.24
"Domestic","AZUL","AZU - 5178",37.5,34.74,202,35,0.17,32,0.16
"Domestic","AZUL","AZU - 5179",7.75,-0.8,142,39,0.27,35,0.25
"Domestic","AZUL","AZU - 5180",3.92,1.75,134,12,0.09,13,0.1
"Domestic","AZUL","AZU - 5181",5.01,7.73,134,29,0.22,17,0.13
"Domestic","AZUL","AZU - 5182",48.85,44.22,181,27,0.15,27,0.15
"Domestic","AZUL","AZU - 5183",-26.87,-1.26,203,20,0.1,20,0.1
"Domestic","AZUL","AZU - 5184",11.19,8.08,62,13,0.21,11,0.18
"Domestic","AZUL","AZU - 5185",10,3.68,77,13,0.17,14,0.18
"Domestic","AZUL","AZU - 5186",2.27,2.65,220,30,0.14,23,0.1
"Domestic","AZUL","AZU - 5187",10.48,2.88,726,37,0.05,54,0.07
"Domestic","AZUL","AZU - 5188",1.08,-3.05,91,9,0.1,12,0.13
"Domestic","AZUL","AZU - 5189",2.28,0.9,93,15,0.16,13,0.14
"Domestic","AZUL","AZU - 5190",-49.26,-58.28,297,15,0.05,15,0.05
"Domestic","AZUL","AZU - 5191",-1.68,-9.25,40,3,0.08,2,0.05
"Domestic","AZUL","AZU - 5192",-5.75,-5.17,89,7,0.08,3,0.03
"Domestic","AZUL","AZU - 5193",-2.63,-0.82,84,8,0.1,3,0.04
"Domestic","AZUL","AZU - 5194",6.58,12.5,48,20,0.42,10,0.21
"Domestic","AZUL","AZU - 5195",21.38,15.84,55,17,0.31,21,0.38
"Domestic","AZUL","AZU - 5196",2.7,0.81,70,11,0.16,5,0.07
"Domestic","AZUL","AZU - 5197",-1.11,-13.61,94,2,0.02,7,0.07
"Domestic","AZUL","AZU - 5198",2.24,9.89,177,54,0.31,23,0.13
"Domestic","AZUL","AZU - 5199",2.06,-2.71,127,15,0.12,16,0.13
"Domestic","AZUL","AZU - 5200",4.38,5.59,215,38,0.18,28,0.13
"Domestic","AZUL","AZU - 5201",-1.81,-2.92,206,18,0.09,12,0.06
"Domestic","AZUL","AZU - 5202",5.05,4.43,60,17,0.28,14,0.23
"Domestic","AZUL","AZU - 5203",1.29,5.87,55,11,0.2,3,0.05
"Domestic","AZUL","AZU - 5204",2.92,3.62,26,5,0.19,4,0.15
"Domestic","AZUL","AZU - 5205",1.04,-3,26,3,0.12,2,0.08
"Domestic","AZUL","AZU - 5206",6.6,3.24,45,9,0.2,9,0.2
"Domestic","AZUL","AZU - 5207",6.92,11.58,38,13,0.34,8,0.21
"Domestic","AZUL","AZU - 5208",6.06,2.8,64,12,0.19,15,0.23
"Domestic","AZUL","AZU - 5209",2.49,-1.56,87,8,0.09,7,0.08
"Domestic","AZUL","AZU - 5210",5.03,3.19,67,12,0.18,9,0.13
"Domestic","AZUL","AZU - 5211",0.48,0.46,65,11,0.17,7,0.11
"Domestic","AZUL","AZU - 5212",1.7,-4.25,76,2,0.03,2,0.03
"Domestic","AZUL","AZU - 5213",-5.67,-5.56,9,1,0.11,0,0
"Domestic","AZUL","AZU - 5214",-2.04,-5.75,24,1,0.04,1,0.04
"Domestic","AZUL","AZU - 5215",-0.48,-4.58,312,27,0.09,21,0.07
"Domestic","AZUL","AZU - 5216",6.67,-15.37,89,4,0.04,13,0.15
"Domestic","AZUL","AZU - 5217",-4.78,-10.39,111,6,0.05,8,0.07
"Domestic","AZUL","AZU - 5218",-5,-7.25,63,1,0.02,1,0.02
"Domestic","AZUL","AZU - 5219",-4.01,-12.59,74,1,0.01,1,0.01
"Domestic","AZUL","AZU - 5220",-37.63,-45.56,347,32,0.09,44,0.13
"Domestic","AZUL","AZU - 5221",-78.57,-57.46,255,15,0.06,13,0.05
"Domestic","AZUL","AZU - 5222",-49.25,-51.59,269,36,0.13,34,0.13
"Domestic","AZUL","AZU - 5223",-38.99,-42.11,342,44,0.13,39,0.11
"Domestic","AZUL","AZU - 5224",5.4,3.08,84,11,0.13,7,0.08
"Domestic","AZUL","AZU - 5225",-4.53,-6.96,85,2,0.02,2,0.02
"Domestic","AZUL","AZU - 5226",1.16,0.03,223,24,0.11,24,0.11
"Domestic","AZUL","AZU - 5227",6.34,2.16,221,35,0.16,39,0.18
"Domestic","AZUL","AZU - 5228",1.06,-5.69,78,8,0.1,9,0.12
"Domestic","AZUL","AZU - 5229",-1.94,-5.53,86,6,0.07,8,0.09
"Domestic","AZUL","AZU - 5230",-2.32,-3.12,41,3,0.07,2,0.05
"Domestic","AZUL","AZU - 5231",-3,-14.44,41,1,0.02,3,0.07
"Domestic","AZUL","AZU - 5232",-0.17,-9.1,87,7,0.08,9,0.1
"Domestic","AZUL","AZU - 5233",-3.41,-8.78,86,6,0.07,6,0.07
"Domestic","AZUL","AZU - 5234",-0.76,-5.63,59,5,0.08,5,0.08
"Domestic","AZUL","AZU - 5235",0.15,-1.4,91,12,0.13,12,0.13
"Domestic","AZUL","AZU - 5236",9.84,8.1,134,33,0.25,26,0.19
"Domestic","AZUL","AZU - 5237",1.27,-1.8,173,23,0.13,21,0.12
"Domestic","AZUL","AZU - 5238",8.95,7.62,109,19,0.17,17,0.16
"Domestic","AZUL","AZU - 5239",-3.32,-4.71,173,11,0.06,7,0.04
"Domestic","AZUL","AZU - 5240",0.5,13.2,82,27,0.33,9,0.11
"Domestic","AZUL","AZU - 5241",13.45,20.74,80,35,0.44,17,0.21
"Domestic","AZUL","AZU - 5242",-1.97,0.69,153,26,0.17,18,0.12
"Domestic","AZUL","AZU - 5243",-3.82,-5.79,138,12,0.09,11,0.08
"Domestic","AZUL","AZU - 5244",1.72,0.9,102,17,0.17,13,0.13
"Domestic","AZUL","AZU - 5245",4.03,1.11,92,13,0.14,15,0.16
"Domestic","AZUL","AZU - 5246",-5.01,-10.33,76,2,0.03,2,0.03
"Domestic","AZUL","AZU - 5247",3.44,3.97,62,15,0.24,13,0.21
"Domestic","AZUL","AZU - 5248",0.07,2.7,30,7,0.23,2,0.07
"Domestic","AZUL","AZU - 5249",11.21,23,42,33,0.79,13,0.31
"Domestic","AZUL","AZU - 5250",4.32,-6.5,122,18,0.15,22,0.18
"Domestic","AZUL","AZU - 5251",1.11,-6.18,107,10,0.09,12,0.11
"Domestic","AZUL","AZU - 5252",2.12,-0.65,26,2,0.08,2,0.08
"Domestic","AZUL","AZU - 5253",-0.42,-1.33,24,4,0.17,3,0.12
"Domestic","AZUL","AZU - 5254",-6.5,-7,2,0,0,0,0
"Domestic","AZUL","AZU - 5256",0.82,-0.58,407,48,0.12,35,0.09
"Domestic","AZUL","AZU - 5257",3.33,8.08,246,66,0.27,34,0.14
"Domestic","AZUL","AZU - 5258",1.96,7.23,99,26,0.26,10,0.1
"Domestic","AZUL","AZU - 5259",1.93,-6.33,45,1,0.02,3,0.07
"Domestic","AZUL","AZU - 5260",2.79,6.72,53,9,0.17,3,0.06
"Domestic","AZUL","AZU - 5261",0.55,0.17,53,5,0.09,5,0.09
"Domestic","AZUL","AZU - 5262",1.38,3.41,93,15,0.16,10,0.11
"Domestic","AZUL","AZU - 5263",2.45,3.77,92,12,0.13,13,0.14
"Domestic","AZUL","AZU - 5264",-1.29,-6.14,7,1,0.14,1,0.14
"Domestic","AZUL","AZU - 5265",9.92,5.5,12,3,0.25,3,0.25
"Domestic","AZUL","AZU - 5266",-1.83,-1.93,29,3,0.1,3,0.1
"Domestic","AZUL","AZU - 5267",-7.33,-9.21,33,1,0.03,1,0.03
"Domestic","AZUL","AZU - 5268",-2.5,-6.29,56,5,0.09,5,0.09
"Domestic","AZUL","AZU - 5269",3.15,4.6,53,10,0.19,8,0.15
"Domestic","AZUL","AZU - 5270",-0.21,-0.72,29,0,0,0,0
"Domestic","AZUL","AZU - 5271",0,0,29,0,0,0,0
"Domestic","AZUL","AZU - 5272",-0.06,-10.24,79,4,0.05,6,0.08
"Domestic","AZUL","AZU - 5273",-6.75,-3.96,81,3,0.04,0,0
"Domestic","AZUL","AZU - 5274",6.5,-6,4,0,0,1,0.25
"Domestic","AZUL","AZU - 5275",-7.67,-22.67,3,0,0,0,0
"Domestic","AZUL","AZU - 5276",-7,-23,1,0,0,0,0
"Domestic","AZUL","AZU - 5278",15.67,11.89,9,3,0.33,3,0.33
"Domestic","AZUL","AZU - 5279",14,4.8,10,2,0.2,4,0.4
"Domestic","AZUL","AZU - 5280",0.46,0.4,174,1,0.01,1,0.01
"Domestic","AZUL","AZU - 5281",0,0,119,0,0,0,0
"Domestic","AZUL","AZU - 5282",15.67,5.67,3,2,0.67,2,0.67
"Domestic","AZUL","AZU - 5283",17.67,10.67,3,1,0.33,1,0.33
"Domestic","AZUL","AZU - 5284",-0.15,-0.27,120,0,0,0,0
"Domestic","AZUL","AZU - 5285",0,0,101,0,0,0,0
"Domestic","AZUL","AZU - 5286",-6.75,-10.25,4,0,0,0,0
"Domestic","AZUL","AZU - 5287",-5.33,-7.33,3,0,0,0,0
"Domestic","AZUL","AZU - 5288",3.77,2.85,26,6,0.23,5,0.19
"Domestic","AZUL","AZU - 5289",-8.78,-7.88,32,1,0.03,1,0.03
"Domestic","AZUL","AZU - 5290",3.69,-1.01,220,17,0.08,19,0.09
"Domestic","AZUL","AZU - 5291",3.43,0.99,234,28,0.12,26,0.11
"Domestic","AZUL","AZU - 5292",-1.57,-6.86,35,2,0.06,3,0.09
"Domestic","AZUL","AZU - 5293",-7.06,-6.59,32,3,0.09,1,0.03
"Domestic","AZUL","AZU - 5294",0,0,202,0,0,0,0
"Domestic","AZUL","AZU - 5295",-0.06,-0.06,207,1,0,0,0
"Domestic","AZUL","AZU - 5296",-2.82,-8.91,45,2,0.04,2,0.04
"Domestic","AZUL","AZU - 5297",0.96,-7.51,45,2,0.04,3,0.07
"Domestic","AZUL","AZU - 5298",0.36,-3.41,22,3,0.14,2,0.09
"Domestic","AZUL","AZU - 5299",15.88,14.83,24,11,0.46,11,0.46
"Domestic","AZUL","AZU - 5300",-6.19,-2.75,79,4,0.05,4,0.05
"Domestic","AZUL","AZU - 5301",4.67,10.63,51,25,0.49,10,0.2
"Domestic","AZUL","AZU - 5302",-0.25,-2.19,16,2,0.12,2,0.12
"Domestic","AZUL","AZU - 5303",-5.32,-3.68,19,1,0.05,0,0
"Domestic","AZUL","AZU - 5304",-5.05,-1.32,22,4,0.18,2,0.09
"Domestic","AZUL","AZU - 5305",-7.5,-3.5,4,0,0,0,0
"Domestic","AZUL","AZU - 5306",-0.36,15.36,14,7,0.5,1,0.07
"Domestic","AZUL","AZU - 5307",-0.78,-10.87,23,0,0,3,0.13
"Domestic","AZUL","AZU - 5308",11.1,6.7,20,5,0.25,5,0.25
"Domestic","AZUL","AZU - 5309",-0.53,-2.16,19,1,0.05,1,0.05
"Domestic","AZUL","AZU - 5310",1.98,-1.03,62,8,0.13,8,0.13
"Domestic","AZUL","AZU - 5311",-8.48,-13.97,112,2,0.02,3,0.03
"Domestic","AZUL","AZU - 5312",0.67,43,3,3,1,1,0.33
"Domestic","AZUL","AZU - 5313",-0.43,1.57,23,2,0.09,1,0.04
"Domestic","AZUL","AZU - 5314",3.37,4.16,19,4,0.21,3,0.16
"Domestic","AZUL","AZU - 5315",12.5,5.54,54,9,0.17,12,0.22
"Domestic","AZUL","AZU - 5316",-0.09,-2.61,353,29,0.08,26,0.07
"Domestic","AZUL","AZU - 5317",-0.72,-5.69,511,33,0.06,35,0.07
"Domestic","AZUL","AZU - 5318",3.96,2.28,71,10,0.14,10,0.14
"Domestic","AZUL","AZU - 5319",13.75,9.67,12,6,0.5,5,0.42
"Domestic","AZUL","AZU - 5320",21.2,30.4,5,5,1,2,0.4
"Domestic","AZUL","AZU - 5321",2.33,1.19,21,2,0.1,2,0.1
"Domestic","AZUL","AZU - 5322",-7.33,-5.13,15,1,0.07,0,0
"Domestic","AZUL","AZU - 5323",-1.14,-4.32,37,3,0.08,2,0.05
"Domestic","AZUL","AZU - 5326",-7.86,-7.62,21,0,0,0,0
"Domestic","AZUL","AZU - 5327",-7.52,-7.29,52,1,0.02,1,0.02
"Domestic","AZUL","AZU - 5328",-5.27,-4.55,11,1,0.09,0,0
"Domestic","AZUL","AZU - 5329",-3.59,-2,17,0,0,0,0
"Domestic","AZUL","AZU - 5330",-7,-5,2,0,0,0,0
"Domestic","AZUL","AZU - 5331",5,14.5,2,1,0.5,0,0
"Domestic","AZUL","AZU - 5332",4.56,-6.56,9,0,0,2,0.22
"Domestic","AZUL","AZU - 5333",-4,-4.6,5,1,0.2,0,0
"Domestic","AZUL","AZU - 5334",7.5,6.61,114,38,0.33,30,0.26
"Domestic","AZUL","AZU - 5335",-6.83,-15.44,18,0,0,1,0.06
"Domestic","AZUL","AZU - 5336",-1.75,-9.14,28,1,0.04,1,0.04
"Domestic","AZUL","AZU - 5337",-6.4,-8.65,57,2,0.04,2,0.04
"Domestic","AZUL","AZU - 5338",-2.71,-4.86,14,1,0.07,1,0.07
"Domestic","AZUL","AZU - 5339",-0.6,5,5,2,0.4,0,0
"Domestic","AZUL","AZU - 5340",1.82,3.36,11,2,0.18,1,0.09
"Domestic","AZUL","AZU - 5341",2.14,4.14,7,1,0.14,1,0.14
"Domestic","AZUL","AZU - 5342",2.58,0.21,19,4,0.21,4,0.21
"Domestic","AZUL","AZU - 5343",-0.44,-1.22,9,1,0.11,2,0.22
"Domestic","AZUL","AZU - 5344",-8.27,-5.27,15,1,0.07,1,0.07
"Domestic","AZUL","AZU - 5345",-2.62,-10.94,16,1,0.06,1,0.06
"Domestic","AZUL","AZU - 5346",0.29,0.32,176,1,0.01,1,0.01
"Domestic","AZUL","AZU - 5347",1.23,-3.47,213,20,0.09,22,0.1
"Domestic","AZUL","AZU - 5350",0,0,7,0,0,0,0
"Domestic","AZUL","AZU - 5351",0,0,7,0,0,0,0
"Domestic","AZUL","AZU - 5352",5,-2.12,17,2,0.12,2,0.12
"Domestic","AZUL","AZU - 5353",-8.25,-11.38,16,0,0,0,0
"Domestic","AZUL","AZU - 5354",-1.08,-10,13,0,0,0,0
"Domestic","AZUL","AZU - 5355",-6.53,-10.47,15,0,0,0,0
"Domestic","AZUL","AZU - 5356",-5.02,-8.86,118,6,0.05,7,0.06
"Domestic","AZUL","AZU - 5357",0.87,1.73,99,6,0.06,5,0.05
"Domestic","AZUL","AZU - 5359",-5.21,-16.57,14,0,0,0,0
"Domestic","AZUL","AZU - 5362",0.77,3.45,22,5,0.23,3,0.14
"Domestic","AZUL","AZU - 5363",6.75,19.31,16,11,0.69,4,0.25
"Domestic","AZUL","AZU - 5364",-6.03,-7.41,37,4,0.11,3,0.08
"Domestic","AZUL","AZU - 5365",-4.84,-20.9,90,3,0.03,3,0.03
"Domestic","AZUL","AZU - 5366",-10.11,-20.56,18,0,0,0,0
"Domestic","AZUL","AZU - 5367",-15.65,-4.35,17,1,0.06,0,0
"Domestic","AZUL","AZU - 5368",9,-1.07,14,2,0.14,3,0.21
"Domestic","AZUL","AZU - 5370",10.86,8.45,44,8,0.18,7,0.16
"Domestic","AZUL","AZU - 5371",-2.57,-6.86,7,0,0,0,0
"Domestic","AZUL","AZU - 5372",-4.67,-5.17,6,0,0,0,0
"Domestic","AZUL","AZU - 5373",104.5,104,2,1,0.5,1,0.5
"Domestic","AZUL","AZU - 5374",-7,-3.67,3,0,0,0,0
"Domestic","AZUL","AZU - 5375",0.79,-7.05,19,2,0.11,3,0.16
"Domestic","AZUL","AZU - 5376",5,5.43,7,1,0.14,1,0.14
"Domestic","AZUL","AZU - 5377",4.82,-4.24,17,2,0.12,2,0.12
"Domestic","AZUL","AZU - 5378",2.05,-9.3,20,2,0.1,2,0.1
"Domestic","AZUL","AZU - 5381",18.1,7,20,5,0.25,8,0.4
"Domestic","AZUL","AZU - 5382",9.67,0.67,24,4,0.17,4,0.17
"Domestic","AZUL","AZU - 5383",3.64,3.5,22,3,0.14,2,0.09
"Domestic","AZUL","AZU - 5384",-5.92,-1.33,24,1,0.04,1,0.04
"Domestic","AZUL","AZU - 5385",-0.58,-8,24,1,0.04,1,0.04
"Domestic","AZUL","AZU - 5386",-2.62,-7.5,26,1,0.04,1,0.04
"Domestic","AZUL","AZU - 5387",9,16.62,16,10,0.62,4,0.25
"Domestic","AZUL","AZU - 5388",3.5,3.35,20,4,0.2,4,0.2
"Domestic","AZUL","AZU - 5389",15.8,16.8,15,5,0.33,5,0.33
"Domestic","AZUL","AZU - 5390",-4,-7.5,2,0,0,0,0
"Domestic","AZUL","AZU - 5391",27,18.5,4,1,0.25,1,0.25
"Domestic","AZUL","AZU - 5392",8.67,9.87,15,3,0.2,3,0.2
"Domestic","AZUL","AZU - 5393",3.33,10.33,3,1,0.33,1,0.33
"Domestic","AZUL","AZU - 5394",-5.58,-2.08,12,1,0.08,0,0
"Domestic","AZUL","AZU - 5395",-2.71,3,7,1,0.14,1,0.14
"Domestic","AZUL","AZU - 5396",0.25,-2.42,12,1,0.08,1,0.08
"Domestic","AZUL","AZU - 5397",1,0.75,12,2,0.17,2,0.17
"Domestic","AZUL","AZU - 5398",4.82,0.82,11,1,0.09,1,0.09
"Domestic","AZUL","AZU - 5700",-1.73,-1.97,538,90,0.17,46,0.09
"Domestic","AZUL","AZU - 5701",1.03,4.23,114,23,0.2,10,0.09
"Domestic","AZUL","AZU - 5702",-1.67,-5.19,373,35,0.09,18,0.05
"Domestic","AZUL","AZU - 5703",-7.69,-5.32,373,13,0.03,10,0.03
"Domestic","AZUL","AZU - 5704",13.79,11.06,189,58,0.31,58,0.31
"Domestic","AZUL","AZU - 5705",-3.69,-4.57,253,13,0.05,14,0.06
"Domestic","AZUL","AZU - 5706",0.54,13.73,59,36,0.61,8,0.14
"Domestic","AZUL","AZU - 5707",9.51,16.9,59,32,0.54,19,0.32
"Domestic","AZUL","AZU - 5708",9.18,15.83,98,42,0.43,25,0.26
"Domestic","AZUL","AZU - 5709",5.42,5.14,144,40,0.28,34,0.24
"Domestic","AZUL","AZU - 5710",2.33,0.53,299,46,0.15,34,0.11
"Domestic","AZUL","AZU - 5711",-3.23,0.86,284,42,0.15,20,0.07
"Domestic","AZUL","AZU - 5712",1.36,1.04,206,38,0.18,24,0.12
"Domestic","AZUL","AZU - 5713",0.41,-1.67,141,21,0.15,16,0.11
"Domestic","AZUL","AZU - 5714",-1.52,-5.96,291,34,0.12,28,0.1
"Domestic","AZUL","AZU - 5715",2.34,2.06,245,39,0.16,34,0.14
"Domestic","AZUL","AZU - 5716",1.23,-5.05,134,13,0.1,15,0.11
"Domestic","AZUL","AZU - 5717",0.82,2.19,110,18,0.16,9,0.08
"Domestic","AZUL","AZU - 5718",-8.43,-11.69,658,93,0.14,70,0.11
"Domestic","AZUL","AZU - 5719",-31.48,-23.08,662,41,0.06,43,0.06
"Domestic","AZUL","AZU - 5720",35.39,23.4,443,34,0.08,44,0.1
"Domestic","AZUL","AZU - 5721",26.52,18.19,432,20,0.05,28,0.06
"Domestic","AZUL","AZU - 5722",-51.27,-58.41,267,22,0.08,22,0.08
"Domestic","AZUL","AZU - 5723",-74.97,-84.48,365,22,0.06,16,0.04
"Domestic","AZUL","AZU - 5724",-0.29,-7.37,215,12,0.06,13,0.06
"Domestic","AZUL","AZU - 5725",13.15,6.26,419,20,0.05,22,0.05
"Domestic","AZUL","AZU - 5726",9.16,-0.59,94,16,0.17,21,0.22
"Domestic","AZUL","AZU - 5727",3.21,-3.38,98,17,0.17,18,0.18
"Domestic","AZUL","AZU - 5728",-13.41,1.59,379,51,0.13,39,0.1
"Domestic","AZUL","AZU - 5729",-57.01,-56.96,251,41,0.16,25,0.1
"Domestic","AZUL","AZU - 5730",-32.47,-32.47,347,84,0.24,62,0.18
"Domestic","AZUL","AZU - 5731",-14.79,-17.32,357,43,0.12,38,0.11
"Domestic","AZUL","AZU - 5732",6.67,3.12,145,33,0.23,29,0.2
"Domestic","AZUL","AZU - 5733",1.85,1.7,154,17,0.11,14,0.09
"Domestic","AZUL","AZU - 5734",1.69,-3.94,209,23,0.11,23,0.11
"Domestic","AZUL","AZU - 5735",5.33,5.53,162,35,0.22,35,0.22
"Domestic","AZUL","AZU - 5736",10.77,12.78,60,17,0.28,11,0.18
"Domestic","AZUL","AZU - 5737",-4.43,-13.03,370,9,0.02,17,0.05
"Domestic","AZUL","AZU - 5738",4.32,0.22,96,7,0.07,10,0.1
"Domestic","AZUL","AZU - 5739",-1.07,-2.93,143,14,0.1,11,0.08
"Domestic","AZUL","AZU - 5740",4.8,1.78,59,9,0.15,6,0.1
"Domestic","AZUL","AZU - 5741",3.37,-1.28,76,8,0.11,9,0.12
"Domestic","AZUL","AZU - 5742",3.21,-6.5,92,7,0.08,8,0.09
"Domestic","AZUL","AZU - 5743",-2.23,-2.79,82,10,0.12,8,0.1
"Domestic","AZUL","AZU - 5744",5.63,5.78,308,62,0.2,52,0.17
"Domestic","AZUL","AZU - 5745",1.78,0.1,165,19,0.12,11,0.07
"Domestic","AZUL","AZU - 5746",-1.78,-0.66,68,6,0.09,4,0.06
"Domestic","AZUL","AZU - 5747",0.71,0.54,69,9,0.13,7,0.1
"Domestic","AZUL","AZU - 5748",2.16,31.45,268,61,0.23,33,0.12
"Domestic","AZUL","AZU - 5749",2.96,3.31,182,36,0.2,28,0.15
"Domestic","AZUL","AZU - 5750",34.36,49.89,251,26,0.1,31,0.12
"Domestic","AZUL","AZU - 5751",-95.86,-72,208,28,0.13,26,0.12
"Domestic","AZUL","AZU - 5752",49.95,49.05,149,23,0.15,13,0.09
"Domestic","AZUL","AZU - 5753",0.8,1.59,51,7,0.14,5,0.1
"Domestic","AZUL","AZU - 5754",42.6,69.3,209,17,0.08,17,0.08
"Domestic","AZUL","AZU - 5755",36.26,30.21,206,22,0.11,20,0.1
"Domestic","AZUL","AZU - 5756",23.62,33.05,389,27,0.07,29,0.07
"Domestic","AZUL","AZU - 5757",-5.17,3.46,24,3,0.12,1,0.04
"Domestic","AZUL","AZU - 5758",0.03,-2.99,243,22,0.09,20,0.08
"Domestic","AZUL","AZU - 5759",-3.32,-18.18,100,2,0.02,4,0.04
"Domestic","AZUL","AZU - 5760",98.75,95.81,237,44,0.19,39,0.16
"Domestic","AZUL","AZU - 5761",-27.32,-2.51,225,11,0.05,11,0.05
"Domestic","AZUL","AZU - 5762",36.75,28.46,221,28,0.13,30,0.14
"Domestic","AZUL","AZU - 5763",42.77,65.8,198,18,0.09,21,0.11
"Domestic","AZUL","AZU - 5764",5.36,3.76,176,23,0.13,23,0.13
"Domestic","AZUL","AZU - 5765",-2.22,-1.5,412,28,0.07,24,0.06
"Domestic","AZUL","AZU - 5766",77.84,74.22,176,11,0.06,11,0.06
"Domestic","AZUL","AZU - 5767",110.74,109.5,129,18,0.14,10,0.08
"Domestic","AZUL","AZU - 5768",-1.72,-0.92,108,10,0.09,9,0.08
"Domestic","AZUL","AZU - 5769",2.63,3.25,120,25,0.21,13,0.11
"Domestic","AZUL","AZU - 5770",-1.21,-6.42,112,2,0.02,5,0.04
"Domestic","AZUL","AZU - 5771",-1.49,0.08,112,5,0.04,5,0.04
"Domestic","AZUL","AZU - 5772",0.27,-4.25,81,9,0.11,6,0.07
"Domestic","AZUL","AZU - 5773",3.26,2.85,72,15,0.21,12,0.17
"Domestic","AZUL","AZU - 5774",3.83,-0.09,86,12,0.14,14,0.16
"Domestic","AZUL","AZU - 5775",-0.89,-0.49,85,12,0.14,9,0.11
"Domestic","AZUL","AZU - 5776",-3.24,-6.24,107,5,0.05,3,0.03
"Domestic","AZUL","AZU - 5777",-2.92,-3.17,106,5,0.05,6,0.06
"Domestic","AZUL","AZU - 5778",2.6,-0.89,500,48,0.1,54,0.11
"Domestic","AZUL","AZU - 5779",0.98,-3.91,452,38,0.08,36,0.08
"Domestic","AZUL","AZU - 5780",11.57,14.48,100,46,0.46,38,0.38
"Domestic","AZUL","AZU - 5781",7.03,5.38,299,70,0.23,65,0.22
"Domestic","AZUL","AZU - 5782",-2.18,-2.93,243,21,0.09,16,0.07
"Domestic","AZUL","AZU - 5783",71.65,72.42,211,36,0.17,22,0.1
"Domestic","AZUL","AZU - 5784",133.42,135.99,170,44,0.26,35,0.21
"Domestic","AZUL","AZU - 5785",61.1,59.86,246,31,0.13,26,0.11
"Domestic","AZUL","AZU - 5786",1.06,3.14,51,12,0.24,7,0.14
"Domestic","AZUL","AZU - 5787",5.46,2.62,71,18,0.25,14,0.2
"Domestic","AZUL","AZU - 5788",-1.56,-3.27,59,4,0.07,3,0.05
"Domestic","AZUL","AZU - 5789",46.05,45.07,506,68,0.13,63,0.12
"Domestic","AZUL","AZU - 5790",-49.57,-35.07,408,62,0.15,36,0.09
"Domestic","AZUL","AZU - 5791",-41.85,-39.45,377,63,0.17,25,0.07
"Domestic","AZUL","AZU - 5792",1.39,-2.93,95,9,0.09,10,0.11
"Domestic","AZUL","AZU - 5793",-34.46,-39.14,196,25,0.13,28,0.14
"Domestic","AZUL","AZU - 5794",-89.97,-69.67,222,18,0.08,20,0.09
"Domestic","AZUL","AZU - 5795",1.42,0.39,113,15,0.13,16,0.14
"Domestic","AZUL","AZU - 5796",-0.86,-9.63,78,7,0.09,7,0.09
"Domestic","AZUL","AZU - 5797",18.9,28.69,506,41,0.08,38,0.08
"Domestic","AZUL","AZU - 5798",-0.16,-0.88,366,18,0.05,15,0.04
"Domestic","AZUL","AZU - 5799",4.11,12.54,54,18,0.33,4,0.07
"Domestic","AZUL","AZU - 6400",9.26,8.95,19,3,0.16,2,0.11
