"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","GOL","GLO - 1598",19
"Domestic","GOL","GLO - 1599",1
"Domestic","GOL","GLO - 1600",19
"Domestic","GOL","GLO - 1601",9
"Domestic","GOL","GLO - 1602",21
"Domestic","GOL","GLO - 1603",11
"Domestic","GOL","GLO - 1604",61
"Domestic","GOL","GLO - 1605",15
"Domestic","GOL","GLO - 1606",17
"Domestic","GOL","GLO - 1607",19
"Domestic","GOL","GLO - 1608",20
"Domestic","GOL","GLO - 1609",64
"Domestic","GOL","GLO - 1610",24
"Domestic","GOL","GLO - 1611",26
"Domestic","GOL","GLO - 1612",7
"Domestic","GOL","GLO - 1613",9
"Domestic","GOL","GLO - 1614",24
"Domestic","GOL","GLO - 1615",4
"Domestic","GOL","GLO - 1616",34
"Domestic","GOL","GLO - 1617",52
"Domestic","GOL","GLO - 1618",4
"Domestic","GOL","GLO - 1619",5
"Domestic","GOL","GLO - 1620",37
"Domestic","GOL","GLO - 1621",59
"Domestic","GOL","GLO - 1622",17
"Domestic","GOL","GLO - 1623",9
"Domestic","GOL","GLO - 1624",52
"Domestic","GOL","GLO - 1625",49
"Domestic","GOL","GLO - 1626",21
"Domestic","GOL","GLO - 1628",6
"Domestic","GOL","GLO - 1629",195
"Domestic","GOL","GLO - 1630",27
"Domestic","GOL","GLO - 1631",43
"Domestic","GOL","GLO - 1632",11
"Domestic","GOL","GLO - 1633",35
"Domestic","GOL","GLO - 1634",134
"Domestic","GOL","GLO - 1635",46
"Domestic","GOL","GLO - 1636",27
"Domestic","GOL","GLO - 1637",109
"Domestic","GOL","GLO - 1638",34
"Domestic","GOL","GLO - 1639",1
"Domestic","GOL","GLO - 1640",12
"Domestic","GOL","GLO - 1641",76
"Domestic","GOL","GLO - 1642",57
"Domestic","GOL","GLO - 1643",33
"Domestic","GOL","GLO - 1644",6
"Domestic","GOL","GLO - 1645",203
"Domestic","GOL","GLO - 1646",41
"Domestic","GOL","GLO - 1647",16
"Domestic","GOL","GLO - 1648",177
"Domestic","GOL","GLO - 1649",163
"Domestic","GOL","GLO - 1651",122
"Domestic","GOL","GLO - 1652",42
"Domestic","GOL","GLO - 1654",15
"Domestic","GOL","GLO - 1656",28
"Domestic","GOL","GLO - 1657",7
"Domestic","GOL","GLO - 1659",111
"Domestic","GOL","GLO - 1661",61
"Domestic","GOL","GLO - 1662",277
"Domestic","GOL","GLO - 1663",113
"Domestic","GOL","GLO - 1664",124
"Domestic","GOL","GLO - 1665",59
"Domestic","GOL","GLO - 1666",132
"Domestic","GOL","GLO - 1667",341
"Domestic","GOL","GLO - 1668",54
"Domestic","GOL","GLO - 1669",30
"Domestic","GOL","GLO - 1670",89
"Domestic","GOL","GLO - 1671",1
"Domestic","GOL","GLO - 1672",83
"Domestic","GOL","GLO - 1673",69
"Domestic","GOL","GLO - 1674",15
"Domestic","GOL","GLO - 1675",8
"Domestic","GOL","GLO - 1676",135
"Domestic","GOL","GLO - 1677",108
"Domestic","GOL","GLO - 1679",10
"Domestic","GOL","GLO - 1680",175
"Domestic","GOL","GLO - 1683",476
"Domestic","GOL","GLO - 1684",138
"Domestic","GOL","GLO - 1685",27
"Domestic","GOL","GLO - 1686",85
"Domestic","GOL","GLO - 1687",221
"Domestic","GOL","GLO - 1691",40
"Domestic","GOL","GLO - 1692",44
"Domestic","GOL","GLO - 1693",51
"Domestic","GOL","GLO - 1694",49
"Domestic","GOL","GLO - 1695",136
"Domestic","GOL","GLO - 1696",11
"Domestic","GOL","GLO - 1697",10
"Domestic","GOL","GLO - 1698",249
"Domestic","GOL","GLO - 1699",14
"Domestic","GOL","GLO - 1700",68
"Domestic","GOL","GLO - 1701",25
"Domestic","GOL","GLO - 1702",26
"Domestic","GOL","GLO - 1704",16
"Domestic","GOL","GLO - 1705",43
"Domestic","GOL","GLO - 1706",41
"Domestic","GOL","GLO - 1708",97
"Domestic","GOL","GLO - 1710",24
"Domestic","GOL","GLO - 1711",83
"Domestic","GOL","GLO - 1713",31
"Domestic","GOL","GLO - 1715",153
"Domestic","GOL","GLO - 1716",70
"Domestic","GOL","GLO - 1718",30
"Domestic","GOL","GLO - 1719",69
"Domestic","GOL","GLO - 1720",2
"Domestic","GOL","GLO - 1721",3
"Domestic","GOL","GLO - 1722",11
"Domestic","GOL","GLO - 1723",113
"Domestic","GOL","GLO - 1724",119
"Domestic","GOL","GLO - 1725",133
"Domestic","GOL","GLO - 1726",96
"Domestic","GOL","GLO - 1727",11
"Domestic","GOL","GLO - 1728",49
"Domestic","GOL","GLO - 1729",44
"Domestic","GOL","GLO - 1730",11
"Domestic","GOL","GLO - 1731",94
"Domestic","GOL","GLO - 1732",46
"Domestic","GOL","GLO - 1733",11
"Domestic","GOL","GLO - 1734",48
"Domestic","GOL","GLO - 1735",5
"Domestic","GOL","GLO - 1736",20
"Domestic","GOL","GLO - 1737",4
"Domestic","GOL","GLO - 1738",1
"Domestic","GOL","GLO - 1739",53
"Domestic","GOL","GLO - 1740",98
"Domestic","GOL","GLO - 1742",156
"Domestic","GOL","GLO - 1743",74
"Domestic","GOL","GLO - 1744",101
"Domestic","GOL","GLO - 1745",65
"Domestic","GOL","GLO - 1746",27
"Domestic","GOL","GLO - 1747",382
"Domestic","GOL","GLO - 1748",101
"Domestic","GOL","GLO - 1749",16
"Domestic","GOL","GLO - 1750",88
"Domestic","GOL","GLO - 1751",144
"Domestic","GOL","GLO - 1752",52
"Domestic","GOL","GLO - 1753",130
"Domestic","GOL","GLO - 1754",2
"Domestic","GOL","GLO - 1756",35
"Domestic","GOL","GLO - 1757",12
"Domestic","GOL","GLO - 1758",19
"Domestic","GOL","GLO - 1760",22
"Domestic","GOL","GLO - 1761",19
"Domestic","GOL","GLO - 1762",3
"Domestic","GOL","GLO - 1763",68
"Domestic","GOL","GLO - 1764",74
"Domestic","GOL","GLO - 1765",12
"Domestic","GOL","GLO - 1766",4
"Domestic","GOL","GLO - 1767",4
"Domestic","GOL","GLO - 1768",40
"Domestic","GOL","GLO - 1769",13
"Domestic","GOL","GLO - 1770",171
"Domestic","GOL","GLO - 1771",193
"Domestic","GOL","GLO - 1772",39
"Domestic","GOL","GLO - 1773",42
"Domestic","GOL","GLO - 1774",32
"Domestic","GOL","GLO - 1775",4
"Domestic","GOL","GLO - 1776",114
"Domestic","GOL","GLO - 1777",56
"Domestic","GOL","GLO - 1778",47
"Domestic","GOL","GLO - 1779",50
"Domestic","GOL","GLO - 1780",26
"Domestic","GOL","GLO - 1781",7
"Domestic","GOL","GLO - 1782",216
"Domestic","GOL","GLO - 1783",65
"Domestic","GOL","GLO - 1784",33
"Domestic","GOL","GLO - 1785",185
"Domestic","GOL","GLO - 1786",185
"Domestic","GOL","GLO - 1787",18
"Domestic","GOL","GLO - 1788",133
"Domestic","GOL","GLO - 1789",12
"Domestic","GOL","GLO - 1790",233
"Domestic","GOL","GLO - 1792",215
"Domestic","GOL","GLO - 1794",68
"Domestic","GOL","GLO - 1796",12
"Domestic","GOL","GLO - 1797",1
"Domestic","GOL","GLO - 1798",10
"Domestic","GOL","GLO - 1799",11
"Domestic","GOL","GLO - 1800",16
"Domestic","GOL","GLO - 1801",3
"Domestic","GOL","GLO - 1802",134
"Domestic","GOL","GLO - 1803",81
"Domestic","GOL","GLO - 1804",4
"Domestic","GOL","GLO - 1805",31
"Domestic","GOL","GLO - 1806",122
"Domestic","GOL","GLO - 1807",102
"Domestic","GOL","GLO - 1808",24
"Domestic","GOL","GLO - 1809",118
"Domestic","GOL","GLO - 1810",34
"Domestic","GOL","GLO - 1811",348
"Domestic","GOL","GLO - 1812",346
"Domestic","GOL","GLO - 1813",132
"Domestic","GOL","GLO - 1814",101
"Domestic","GOL","GLO - 1815",75
"Domestic","GOL","GLO - 1816",4
"Domestic","GOL","GLO - 1817",29
"Domestic","GOL","GLO - 1818",4
"Domestic","GOL","GLO - 1819",4
"Domestic","GOL","GLO - 1820",1
"Domestic","GOL","GLO - 1821",128
"Domestic","GOL","GLO - 1822",74
"Domestic","GOL","GLO - 1823",94
"Domestic","GOL","GLO - 1824",75
"Domestic","GOL","GLO - 1828",73
"Domestic","GOL","GLO - 1829",119
"Domestic","GOL","GLO - 1830",240
"Domestic","GOL","GLO - 1831",142
"Domestic","GOL","GLO - 1832",274
"Domestic","GOL","GLO - 1833",102
"Domestic","GOL","GLO - 1834",100
"Domestic","GOL","GLO - 1835",19
"Domestic","GOL","GLO - 1836",25
"Domestic","GOL","GLO - 1837",438
"Domestic","GOL","GLO - 1838",425
"Domestic","GOL","GLO - 1839",397
"Domestic","GOL","GLO - 1840",42
"Domestic","GOL","GLO - 1842",119
"Domestic","GOL","GLO - 1843",3
"Domestic","GOL","GLO - 1844",106
"Domestic","GOL","GLO - 1845",41
"Domestic","GOL","GLO - 1846",109
"Domestic","GOL","GLO - 1847",109
"Domestic","GOL","GLO - 1848",6
"Domestic","GOL","GLO - 1849",6
"Domestic","GOL","GLO - 1850",18
"Domestic","GOL","GLO - 1851",27
"Domestic","GOL","GLO - 1853",29
"Domestic","GOL","GLO - 1854",15
"Domestic","GOL","GLO - 1855",277
"Domestic","GOL","GLO - 1856",18
"Domestic","GOL","GLO - 1857",57
"Domestic","GOL","GLO - 1858",62
"Domestic","GOL","GLO - 1859",16
"Domestic","GOL","GLO - 1860",23
"Domestic","GOL","GLO - 1861",71
"Domestic","GOL","GLO - 1862",18
"Domestic","GOL","GLO - 1863",63
"Domestic","GOL","GLO - 1864",8
"Domestic","GOL","GLO - 1865",45
"Domestic","GOL","GLO - 1866",9
"Domestic","GOL","GLO - 1867",13
"Domestic","GOL","GLO - 1868",8
"Domestic","GOL","GLO - 1869",62
"Domestic","GOL","GLO - 1871",205
"Domestic","GOL","GLO - 1872",46
"Domestic","GOL","GLO - 1873",51
"Domestic","GOL","GLO - 1875",146
"Domestic","GOL","GLO - 1876",48
"Domestic","GOL","GLO - 1877",113
"Domestic","GOL","GLO - 1878",14
"Domestic","GOL","GLO - 1879",20
"Domestic","GOL","GLO - 1880",135
"Domestic","GOL","GLO - 1881",24
"Domestic","GOL","GLO - 1882",6
"Domestic","GOL","GLO - 1883",79
"Domestic","GOL","GLO - 1884",102
"Domestic","GOL","GLO - 1885",102
"Domestic","GOL","GLO - 1886",10
"Domestic","GOL","GLO - 1887",204
"Domestic","GOL","GLO - 1888",71
"Domestic","GOL","GLO - 1889",157
"Domestic","GOL","GLO - 1890",46
"Domestic","GOL","GLO - 1891",11
"Domestic","GOL","GLO - 1892",164
"Domestic","GOL","GLO - 1893",47
"Domestic","GOL","GLO - 1895",166
"Domestic","GOL","GLO - 1896",8
"Domestic","GOL","GLO - 1898",12
"Domestic","GOL","GLO - 1899",68
"Domestic","GOL","GLO - 1900",146
"Domestic","GOL","GLO - 1901",18
"Domestic","GOL","GLO - 1902",14
"Domestic","GOL","GLO - 1903",107
"Domestic","GOL","GLO - 1904",18
"Domestic","GOL","GLO - 1905",8
"Domestic","GOL","GLO - 1906",39
"Domestic","GOL","GLO - 1908",75
"Domestic","GOL","GLO - 1909",4
"Domestic","GOL","GLO - 1910",168
"Domestic","GOL","GLO - 1912",174
"Domestic","GOL","GLO - 1913",155
"Domestic","GOL","GLO - 1915",7
"Domestic","GOL","GLO - 1916",45
"Domestic","GOL","GLO - 1917",4
"Domestic","GOL","GLO - 1918",16
"Domestic","GOL","GLO - 1919",96
"Domestic","GOL","GLO - 1920",151
"Domestic","GOL","GLO - 1921",220
"Domestic","GOL","GLO - 1922",30
"Domestic","GOL","GLO - 1923",47
"Domestic","GOL","GLO - 1924",22
"Domestic","GOL","GLO - 1925",25
"Domestic","GOL","GLO - 1926",61
"Domestic","GOL","GLO - 1927",93
"Domestic","GOL","GLO - 1928",203
"Domestic","GOL","GLO - 1930",66
"Domestic","GOL","GLO - 1931",65
"Domestic","GOL","GLO - 1932",75
"Domestic","GOL","GLO - 1933",45
"Domestic","GOL","GLO - 1934",228
"Domestic","GOL","GLO - 1936",4
"Domestic","GOL","GLO - 1937",229
"Domestic","GOL","GLO - 1938",1258
"Domestic","GOL","GLO - 1939",1249
"Domestic","GOL","GLO - 1940",12
"Domestic","GOL","GLO - 1941",4
"Domestic","GOL","GLO - 1942",78
"Domestic","GOL","GLO - 1943",82
"Domestic","GOL","GLO - 1944",1
"Domestic","GOL","GLO - 1946",28
"Domestic","GOL","GLO - 1947",36
"Domestic","GOL","GLO - 1948",81
"Domestic","GOL","GLO - 1949",71
"Domestic","GOL","GLO - 1950",32
"Domestic","GOL","GLO - 1951",36
"Domestic","GOL","GLO - 1952",33
"Domestic","GOL","GLO - 1953",24
"Domestic","GOL","GLO - 1954",116
"Domestic","GOL","GLO - 1955",57
"Domestic","GOL","GLO - 1957",3
"Domestic","GOL","GLO - 1958",14
"Domestic","GOL","GLO - 1959",55
"Domestic","GOL","GLO - 1960",68
"Domestic","GOL","GLO - 1961",144
"Domestic","GOL","GLO - 1962",20
"Domestic","GOL","GLO - 1963",43
"Domestic","GOL","GLO - 1964",128
"Domestic","GOL","GLO - 1965",41
"Domestic","GOL","GLO - 1966",38
"Domestic","GOL","GLO - 1967",51
"Domestic","GOL","GLO - 1968",46
"Domestic","GOL","GLO - 1969",6
"Domestic","GOL","GLO - 1970",121
"Domestic","GOL","GLO - 1971",24
"Domestic","GOL","GLO - 1972",206
"Domestic","GOL","GLO - 1973",112
"Domestic","GOL","GLO - 1974",40
"Domestic","GOL","GLO - 1975",4
"Domestic","GOL","GLO - 1976",243
"Domestic","GOL","GLO - 1977",60
"Domestic","GOL","GLO - 1978",26
"Domestic","GOL","GLO - 1979",383
"Domestic","GOL","GLO - 1980",54
"Domestic","GOL","GLO - 1981",149
"Domestic","GOL","GLO - 1982",96
"Domestic","GOL","GLO - 1983",17
"Domestic","GOL","GLO - 1984",48
"Domestic","GOL","GLO - 1985",51
"Domestic","GOL","GLO - 1986",17
"Domestic","GOL","GLO - 1987",124
"Domestic","GOL","GLO - 1988",37
"Domestic","GOL","GLO - 1989",3
"Domestic","GOL","GLO - 1990",200
"Domestic","GOL","GLO - 1991",190
"Domestic","GOL","GLO - 1992",101
"Domestic","GOL","GLO - 1993",138
"Domestic","GOL","GLO - 1994",70
"Domestic","GOL","GLO - 1995",47
"Domestic","GOL","GLO - 1996",61
"Domestic","GOL","GLO - 1998",257
"Domestic","GOL","GLO - 1999",313
"Domestic","GOL","GLO - 2000",53
"Domestic","GOL","GLO - 2001",28
"Domestic","GOL","GLO - 2002",61
"Domestic","GOL","GLO - 2003",199
"Domestic","GOL","GLO - 2004",53
"Domestic","GOL","GLO - 2006",24
"Domestic","GOL","GLO - 2007",196
"Domestic","GOL","GLO - 2008",124
"Domestic","GOL","GLO - 2009",101
"Domestic","GOL","GLO - 2010",42
"Domestic","GOL","GLO - 2011",212
"Domestic","GOL","GLO - 2012",148
"Domestic","GOL","GLO - 2013",128
"Domestic","GOL","GLO - 2014",91
"Domestic","GOL","GLO - 2015",201
"Domestic","GOL","GLO - 2016",201
"Domestic","GOL","GLO - 2017",88
"Domestic","GOL","GLO - 2018",23
"Domestic","GOL","GLO - 2019",201
"Domestic","GOL","GLO - 2020",50
"Domestic","GOL","GLO - 2021",105
"Domestic","GOL","GLO - 2022",48
"Domestic","GOL","GLO - 2023",4
"Domestic","GOL","GLO - 2024",103
"Domestic","GOL","GLO - 2025",46
"Domestic","GOL","GLO - 2026",100
"Domestic","GOL","GLO - 2027",131
"Domestic","GOL","GLO - 2028",144
"Domestic","GOL","GLO - 2029",18
"Domestic","GOL","GLO - 2030",215
"Domestic","GOL","GLO - 2031",15
"Domestic","GOL","GLO - 2032",11
"Domestic","GOL","GLO - 2033",274
"Domestic","GOL","GLO - 2034",276
"Domestic","GOL","GLO - 2035",72
"Domestic","GOL","GLO - 2036",164
"Domestic","GOL","GLO - 2037",50
"Domestic","GOL","GLO - 2038",201
"Domestic","GOL","GLO - 2039",201
"Domestic","GOL","GLO - 2040",472
"Domestic","GOL","GLO - 2044",131
"Domestic","GOL","GLO - 2045",88
"Domestic","GOL","GLO - 2047",211
"Domestic","GOL","GLO - 2048",1
"Domestic","GOL","GLO - 2049",35
"Domestic","GOL","GLO - 2050",65
"Domestic","GOL","GLO - 2051",74
"Domestic","GOL","GLO - 2052",16
"Domestic","GOL","GLO - 2053",35
"Domestic","GOL","GLO - 2054",343
"Domestic","GOL","GLO - 2055",287
"Domestic","GOL","GLO - 2056",103
"Domestic","GOL","GLO - 2057",63
"Domestic","GOL","GLO - 2058",86
"Domestic","GOL","GLO - 2059",55
"Domestic","GOL","GLO - 2060",79
"Domestic","GOL","GLO - 2061",216
"Domestic","GOL","GLO - 2062",36
"Domestic","GOL","GLO - 2063",50
"Domestic","GOL","GLO - 2064",8
"Domestic","GOL","GLO - 2065",161
"Domestic","GOL","GLO - 2066",66
"Domestic","GOL","GLO - 2067",113
"Domestic","GOL","GLO - 2069",258
"Domestic","GOL","GLO - 2070",186
"Domestic","GOL","GLO - 2071",17
"Domestic","GOL","GLO - 2072",24
"Domestic","GOL","GLO - 2073",81
"Domestic","GOL","GLO - 2074",144
"Domestic","GOL","GLO - 2075",206
"Domestic","GOL","GLO - 2076",13
"Domestic","GOL","GLO - 2077",15
"Domestic","GOL","GLO - 2078",13
"Domestic","GOL","GLO - 2080",36
"Domestic","GOL","GLO - 2082",36
"Domestic","GOL","GLO - 2083",197
"Domestic","GOL","GLO - 2084",4
"Domestic","GOL","GLO - 2085",59
"Domestic","GOL","GLO - 2086",42
"Domestic","GOL","GLO - 2087",9
"Domestic","GOL","GLO - 2088",37
"Domestic","GOL","GLO - 2089",16
"Domestic","GOL","GLO - 2091",4
"Domestic","GOL","GLO - 2092",467
"Domestic","GOL","GLO - 2093",4
"Domestic","GOL","GLO - 2094",34
"Domestic","GOL","GLO - 2095",10
"Domestic","GOL","GLO - 2098",111
"Domestic","GOL","GLO - 2101",88
"Domestic","GOL","GLO - 2104",29
"Domestic","GOL","GLO - 2105",17
"Domestic","GOL","GLO - 2106",40
"Domestic","GOL","GLO - 2107",41
"Domestic","GOL","GLO - 2108",30
"Domestic","GOL","GLO - 2109",28
"Domestic","GOL","GLO - 2110",106
"Domestic","GOL","GLO - 2111",130
"Domestic","GOL","GLO - 2112",177
"Domestic","GOL","GLO - 2113",109
"Domestic","GOL","GLO - 2114",121
"Domestic","GOL","GLO - 2115",38
"Domestic","GOL","GLO - 2116",53
"Domestic","GOL","GLO - 2117",44
"Domestic","GOL","GLO - 2118",18
"Domestic","GOL","GLO - 2119",113
"Domestic","GOL","GLO - 2120",90
"Domestic","GOL","GLO - 2121",24
"Domestic","GOL","GLO - 2122",314
"Domestic","GOL","GLO - 2123",33
"Domestic","GOL","GLO - 2124",15
"Domestic","GOL","GLO - 2125",246
"Domestic","GOL","GLO - 2126",177
"Domestic","GOL","GLO - 2127",26
"Domestic","GOL","GLO - 2128",14
"Domestic","GOL","GLO - 2129",33
"Domestic","GOL","GLO - 2130",16
"Domestic","GOL","GLO - 2131",9
"Domestic","GOL","GLO - 2132",75
"Domestic","GOL","GLO - 2133",43
"Domestic","GOL","GLO - 2134",6
"Domestic","GOL","GLO - 2135",8
"Domestic","GOL","GLO - 2136",232
"Domestic","GOL","GLO - 2137",249
"Domestic","GOL","GLO - 2138",301
"Domestic","GOL","GLO - 2139",13
"Domestic","GOL","GLO - 2140",310
"Domestic","GOL","GLO - 2141",325
"Domestic","GOL","GLO - 2142",89
"Domestic","GOL","GLO - 2143",90
"Domestic","GOL","GLO - 2144",76
"Domestic","GOL","GLO - 2145",69
"Domestic","GOL","GLO - 2146",18
"Domestic","GOL","GLO - 2147",19
"Domestic","GOL","GLO - 2148",2
"Domestic","GOL","GLO - 2149",21
"Domestic","GOL","GLO - 2150",147
"Domestic","GOL","GLO - 2151",191
"Domestic","GOL","GLO - 2152",59
"Domestic","GOL","GLO - 2153",133
"Domestic","GOL","GLO - 2154",221
"Domestic","GOL","GLO - 2155",219
"Domestic","GOL","GLO - 2156",61
"Domestic","GOL","GLO - 2157",61
"Domestic","GOL","GLO - 2158",304
"Domestic","GOL","GLO - 2160",70
"Domestic","GOL","GLO - 2161",15
"Domestic","GOL","GLO - 2162",229
"Domestic","GOL","GLO - 2163",304
"Domestic","GOL","GLO - 2164",7
"Domestic","GOL","GLO - 2165",305
"Domestic","GOL","GLO - 2166",340
"Domestic","GOL","GLO - 2167",341
"Domestic","GOL","GLO - 2169",152
"Domestic","GOL","GLO - 2170",208
"Domestic","GOL","GLO - 2171",46
"Domestic","GOL","GLO - 2172",15
"Domestic","GOL","GLO - 2173",18
"Domestic","GOL","GLO - 2175",80
"Domestic","GOL","GLO - 2177",81
"Domestic","GOL","GLO - 2178",163
"Domestic","GOL","GLO - 2179",132
"Domestic","GOL","GLO - 2182",111
"Domestic","GOL","GLO - 2183",315
"Domestic","GOL","GLO - 2184",13
"Domestic","GOL","GLO - 2185",13
"Domestic","GOL","GLO - 2186",103
"Domestic","GOL","GLO - 2187",8
"Domestic","GOL","GLO - 2188",187
"Domestic","GOL","GLO - 2189",187
"Domestic","GOL","GLO - 2190",14
"Domestic","GOL","GLO - 2191",203
"Domestic","GOL","GLO - 2192",273
"Domestic","GOL","GLO - 2193",274
"Domestic","GOL","GLO - 2194",92
"Domestic","GOL","GLO - 2195",364
"Domestic","GOL","GLO - 2196",838
"Domestic","GOL","GLO - 2197",438
"Domestic","GOL","GLO - 2198",365
"Domestic","GOL","GLO - 2199",420
"Domestic","GOL","GLO - 4800",21
"Domestic","GOL","GLO - 4805",1
"Domestic","GOL","GLO - 4807",21
"Domestic","GOL","GLO - 4808",4
"Domestic","GOL","GLO - 4810",1
"Domestic","GOL","GLO - 4811",1
"Domestic","GOL","GLO - 4813",22
"Domestic","GOL","GLO - 4814",24
"Domestic","GOL","GLO - 4815",110
"Domestic","GOL","GLO - 4816",110
"Domestic","GOL","GLO - 4817",7
"Domestic","GOL","GLO - 4818",7
"Domestic","GOL","GLO - 4820",2
"Domestic","GOL","GLO - 4821",2
"Domestic","GOL","GLO - 4822",2
"Domestic","GOL","GLO - 4823",19
"Domestic","GOL","GLO - 4824",19
"Domestic","GOL","GLO - 4825",2
"Domestic","GOL","GLO - 4826",2
"Domestic","GOL","GLO - 4827",2
"Domestic","GOL","GLO - 4828",14
"Domestic","GOL","GLO - 4829",14
"Domestic","GOL","GLO - 4832",1
"Domestic","GOL","GLO - 4833",1
"Domestic","GOL","GLO - 4834",1
"Domestic","GOL","GLO - 4837",1
"Domestic","GOL","GLO - 4842",2
"Domestic","GOL","GLO - 4843",2
"Domestic","GOL","GLO - 4874",21
"Domestic","GOL","GLO - 4875",22
"Domestic","GOL","GLO - 4876",2
"Domestic","GOL","GLO - 4877",2
"Domestic","GOL","GLO - 4879",21
"Domestic","GOL","GLO - 4880",22
"Domestic","GOL","GLO - 4891",26
"Domestic","GOL","GLO - 4892",25
"Domestic","GOL","GLO - 4893",24
"Domestic","GOL","GLO - 4894",24
"Domestic","GOL","GLO - 4895",24
"Domestic","GOL","GLO - 4896",29
"Domestic","GOL","GLO - 4899",1
"Domestic","GOL","GLO - 4901",1
"Domestic","GOL","GLO - 4902",1
"Domestic","GOL","GLO - 4905",14
"Domestic","GOL","GLO - 4906",14
"Domestic","GOL","GLO - 4907",2
"Domestic","GOL","GLO - 4908",2
"Domestic","GOL","GLO - 4909",8
"Domestic","GOL","GLO - 4911",54
"Domestic","GOL","GLO - 4912",65
"Domestic","GOL","GLO - 4913",51
"Domestic","GOL","GLO - 4914",62
"Domestic","GOL","GLO - 4915",46
"Domestic","GOL","GLO - 4916",23
"Domestic","GOL","GLO - 4917",4
"Domestic","GOL","GLO - 4918",18
"Domestic","GOL","GLO - 4919",15
"Domestic","GOL","GLO - 4920",8
"Domestic","GOL","GLO - 4921",18
"Domestic","GOL","GLO - 4923",18
"Domestic","GOL","GLO - 4924",18
"Domestic","GOL","GLO - 4930",6
"Domestic","GOL","GLO - 4936",45
"Domestic","GOL","GLO - 4937",45
"Domestic","GOL","GLO - 4938",9
"Domestic","GOL","GLO - 4939",9
"Domestic","GOL","GLO - 5374",6
"Domestic","GOL","GLO - 5375",2
"Domestic","GOL","GLO - 5377",1
"Domestic","GOL","GLO - 5387",21
"Domestic","GOL","GLO - 5393",1
"Domestic","GOL","GLO - 5408",20
"Domestic","GOL","GLO - 5416",1
"Domestic","GOL","GLO - 5417",2
"Domestic","GOL","GLO - 5420",3
"Domestic","GOL","GLO - 5435",4
"Domestic","GOL","GLO - 5464",1
"Domestic","GOL","GLO - 5841",11
"Domestic","GOL","GLO - 5842",7
"Domestic","GOL","GLO - 5867",3
"Domestic","GOL","GLO - 5892",80
"Domestic","GOL","GLO - 5893",77
"Domestic","GOL","GLO - 5894",77
"Domestic","GOL","GLO - 5895",79
"Domestic","GOL","GLO - 5896",78
"Domestic","GOL","GLO - 5897",78
"Domestic","GOL","GLO - 6862",2
"Domestic","GOL","GLO - 6891",2
"Domestic","GOL","GLO - 6892",2
"Domestic","MAP LINHAS AEREAS","PAM - 5908",3
"Domestic","MAP LINHAS AEREAS","PAM - 5909",3
"Domestic","MAP LINHAS AEREAS","PAM - 5917",1
"Domestic","MAP LINHAS AEREAS","PAM - 5920",2
"Domestic","MAP LINHAS AEREAS","PAM - 5921",3
"Domestic","MAP LINHAS AEREAS","PAM - 5936",2
"Domestic","MAP LINHAS AEREAS","PAM - 5937",2
"Domestic","TAM","TAM - 3000",109
"Domestic","TAM","TAM - 3001",74
"Domestic","TAM","TAM - 3002",54
"Domestic","TAM","TAM - 3003",36
"Domestic","TAM","TAM - 3004",59
"Domestic","TAM","TAM - 3005",19
"Domestic","TAM","TAM - 3006",20
"Domestic","TAM","TAM - 3007",91
"Domestic","TAM","TAM - 3008",65
"Domestic","TAM","TAM - 3009",94
"Domestic","TAM","TAM - 3010",99
"Domestic","TAM","TAM - 3011",118
"Domestic","TAM","TAM - 3012",79
"Domestic","TAM","TAM - 3013",71
"Domestic","TAM","TAM - 3014",38
"Domestic","TAM","TAM - 3015",40
"Domestic","TAM","TAM - 3016",48
"Domestic","TAM","TAM - 3019",47
"Domestic","TAM","TAM - 3020",44
"Domestic","TAM","TAM - 3021",39
"Domestic","TAM","TAM - 3022",46
"Domestic","TAM","TAM - 3023",40
"Domestic","TAM","TAM - 3024",29
"Domestic","TAM","TAM - 3025",52
"Domestic","TAM","TAM - 3026",45
"Domestic","TAM","TAM - 3027",52
"Domestic","TAM","TAM - 3028",39
"Domestic","TAM","TAM - 3029",41
"Domestic","TAM","TAM - 3030",23
"Domestic","TAM","TAM - 3031",53
"Domestic","TAM","TAM - 3036",106
"Domestic","TAM","TAM - 3037",4
"Domestic","TAM","TAM - 3044",35
"Domestic","TAM","TAM - 3045",28
"Domestic","TAM","TAM - 3046",63
"Domestic","TAM","TAM - 3047",71
"Domestic","TAM","TAM - 3048",28
"Domestic","TAM","TAM - 3049",39
"Domestic","TAM","TAM - 3050",46
"Domestic","TAM","TAM - 3051",18
"Domestic","TAM","TAM - 3052",68
"Domestic","TAM","TAM - 3053",55
"Domestic","TAM","TAM - 3055",70
"Domestic","TAM","TAM - 3056",45
"Domestic","TAM","TAM - 3057",29
"Domestic","TAM","TAM - 3058",4
"Domestic","TAM","TAM - 3059",31
"Domestic","TAM","TAM - 3060",7
"Domestic","TAM","TAM - 3061",42
"Domestic","TAM","TAM - 3062",46
"Domestic","TAM","TAM - 3064",10
"Domestic","TAM","TAM - 3065",11
"Domestic","TAM","TAM - 3066",4
"Domestic","TAM","TAM - 3067",35
"Domestic","TAM","TAM - 3069",3
"Domestic","TAM","TAM - 3070",35
"Domestic","TAM","TAM - 3071",32
"Domestic","TAM","TAM - 3072",32
"Domestic","TAM","TAM - 3073",29
