"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AVIANCA BRASIL","ONE - 6249",24
"Domestic","AVIANCA BRASIL","ONE - 6250",12
"Domestic","AVIANCA BRASIL","ONE - 6251",74
"Domestic","AVIANCA BRASIL","ONE - 6252",48
"Domestic","AVIANCA BRASIL","ONE - 6253",13
"Domestic","AVIANCA BRASIL","ONE - 6255",1
"Domestic","AVIANCA BRASIL","ONE - 6256",13
"Domestic","AVIANCA BRASIL","ONE - 6257",47
"Domestic","AVIANCA BRASIL","ONE - 6258",32
"Domestic","AVIANCA BRASIL","ONE - 6259",12
"Domestic","AVIANCA BRASIL","ONE - 6260",6
"Domestic","AVIANCA BRASIL","ONE - 6261",9
"Domestic","AVIANCA BRASIL","ONE - 6262",6
"Domestic","AVIANCA BRASIL","ONE - 6263",10
"Domestic","AVIANCA BRASIL","ONE - 6267",2
"Domestic","AVIANCA BRASIL","ONE - 6268",14
"Domestic","AVIANCA BRASIL","ONE - 6269",11
"Domestic","AVIANCA BRASIL","ONE - 6270",4
"Domestic","AVIANCA BRASIL","ONE - 6271",1
"Domestic","AVIANCA BRASIL","ONE - 6272",1
"Domestic","AVIANCA BRASIL","ONE - 6276",7
"Domestic","AVIANCA BRASIL","ONE - 6277",5
"Domestic","AVIANCA BRASIL","ONE - 6278",3
"Domestic","AVIANCA BRASIL","ONE - 6279",32
"Domestic","AVIANCA BRASIL","ONE - 6284",22
"Domestic","AVIANCA BRASIL","ONE - 6285",14
"Domestic","AVIANCA BRASIL","ONE - 6286",3
"Domestic","AVIANCA BRASIL","ONE - 6287",8
"Domestic","AVIANCA BRASIL","ONE - 6288",36
"Domestic","AVIANCA BRASIL","ONE - 6289",35
"Domestic","AVIANCA BRASIL","ONE - 6290",230
"Domestic","AVIANCA BRASIL","ONE - 6291",218
"Domestic","AVIANCA BRASIL","ONE - 6293",1
"Domestic","AVIANCA BRASIL","ONE - 6294",7
"Domestic","AVIANCA BRASIL","ONE - 6295",7
"Domestic","AVIANCA BRASIL","ONE - 6300",2
"Domestic","AVIANCA BRASIL","ONE - 6301",4
"Domestic","AVIANCA BRASIL","ONE - 6302",6
"Domestic","AVIANCA BRASIL","ONE - 6303",20
"Domestic","AVIANCA BRASIL","ONE - 6304",25
"Domestic","AVIANCA BRASIL","ONE - 6305",12
"Domestic","AVIANCA BRASIL","ONE - 6306",4
"Domestic","AVIANCA BRASIL","ONE - 6307",7
"Domestic","AVIANCA BRASIL","ONE - 6309",18
"Domestic","AVIANCA BRASIL","ONE - 6310",32
"Domestic","AVIANCA BRASIL","ONE - 6311",36
"Domestic","AVIANCA BRASIL","ONE - 6312",28
"Domestic","AVIANCA BRASIL","ONE - 6313",34
"Domestic","AVIANCA BRASIL","ONE - 6314",3
"Domestic","AVIANCA BRASIL","ONE - 6315",9
"Domestic","AVIANCA BRASIL","ONE - 6316",25
"Domestic","AVIANCA BRASIL","ONE - 6317",39
"Domestic","AVIANCA BRASIL","ONE - 6318",130
"Domestic","AVIANCA BRASIL","ONE - 6319",146
"Domestic","AVIANCA BRASIL","ONE - 6320",25
"Domestic","AVIANCA BRASIL","ONE - 6321",32
"Domestic","AVIANCA BRASIL","ONE - 6324",16
"Domestic","AVIANCA BRASIL","ONE - 6325",22
"Domestic","AVIANCA BRASIL","ONE - 6326",46
"Domestic","AVIANCA BRASIL","ONE - 6327",64
"Domestic","AVIANCA BRASIL","ONE - 6330",1
"Domestic","AVIANCA BRASIL","ONE - 6331",16
"Domestic","AVIANCA BRASIL","ONE - 6332",15
"Domestic","AVIANCA BRASIL","ONE - 6333",1
"Domestic","AVIANCA BRASIL","ONE - 6334",15
"Domestic","AVIANCA BRASIL","ONE - 6335",15
"Domestic","AVIANCA BRASIL","ONE - 6336",3
"Domestic","AVIANCA BRASIL","ONE - 6337",3
"Domestic","AVIANCA BRASIL","ONE - 6342",2
"Domestic","AVIANCA BRASIL","ONE - 6343",3
"Domestic","AVIANCA BRASIL","ONE - 6344",3
"Domestic","AVIANCA BRASIL","ONE - 6345",3
"Domestic","AVIANCA BRASIL","ONE - 6349",1
"Domestic","AVIANCA BRASIL","ONE - 6350",6
"Domestic","AVIANCA BRASIL","ONE - 6351",8
"Domestic","AVIANCA BRASIL","ONE - 6352",5
"Domestic","AVIANCA BRASIL","ONE - 6353",6
"Domestic","AVIANCA BRASIL","ONE - 6355",13
"Domestic","AVIANCA BRASIL","ONE - 6356",8
"Domestic","AVIANCA BRASIL","ONE - 6357",2
"Domestic","AVIANCA BRASIL","ONE - 6362",17
